name,diversity,genre_compate,euclidean_similarity,cosine_similarity,cluster_method_name,distance_method_name
KMeans_PCA_3,0.19577210137332204,0.4,0.17634097092181358,0.5565268171349318,calculate_mean,euclidean
KMeans_PCA_3,0.557496000942696,0.6,0.16265751117298427,0.6003966258183202,calculate_mean,cosine
KMeans_PCA_3,0.031006958825588526,0.4,0.18956882149700985,0.6125699840898107,calculate_mean,manhattan
KMeans_PCA_3,0.06252657230586782,0.2,0.18912674890057726,0.6103758241345494,calculate_nearest,euclidean
KMeans_PCA_3,0.016856818794297068,0.2,0.18134325753574165,0.6271567345564835,calculate_nearest,cosine
KMeans_PCA_3,0.0238640240308464,0.5,0.18754225618852308,0.6004579185112747,calculate_nearest,manhattan
KMeans_PCA_3,0.19577210137332204,0.4,0.17634097092181358,0.5565268171349318,calculate_farthest,euclidean
KMeans_PCA_3,0.557496000942696,0.6,0.16265751117298427,0.6003966258183202,calculate_farthest,cosine
KMeans_PCA_3,0.031006958825588526,0.4,0.18956882149700985,0.6125699840898107,calculate_farthest,manhattan
GMM_PCA_2,0.19577210137332204,0.4,0.17634097092181358,0.5565268171349318,calculate_mean,euclidean
GMM_PCA_2,0.557496000942696,0.6,0.16265751117298427,0.6003966258183202,calculate_mean,cosine
GMM_PCA_2,0.031006958825588526,0.4,0.18956882149700985,0.6125699840898107,calculate_mean,manhattan
GMM_PCA_2,0.19577210137332204,0.4,0.17634097092181358,0.5565268171349318,calculate_nearest,euclidean
GMM_PCA_2,0.557496000942696,0.6,0.16265751117298427,0.6003966258183202,calculate_nearest,cosine
GMM_PCA_2,0.031006958825588526,0.4,0.18956882149700985,0.6125699840898107,calculate_nearest,manhattan
GMM_PCA_2,0.19577210137332204,0.4,0.17634097092181358,0.5565268171349318,calculate_farthest,euclidean
GMM_PCA_2,0.557496000942696,0.6,0.16265751117298427,0.6003966258183202,calculate_farthest,cosine
GMM_PCA_2,0.031006958825588526,0.4,0.18956882149700985,0.6125699840898107,calculate_farthest,manhattan
GMM_ICA_3,0.005766516237978215,0.4,0.9523050989682259,0.5618077494850037,calculate_mean,euclidean
GMM_ICA_3,0.013737853733473833,0.5,0.9379256348286509,0.5145812067631697,calculate_mean,cosine
GMM_ICA_3,0.006465221965712657,0.4,0.9510164325977657,0.5416977201723251,calculate_mean,manhattan
GMM_ICA_3,0.005766516237978215,0.4,0.9523050989682259,0.5618077494850037,calculate_nearest,euclidean
GMM_ICA_3,0.013737853733473833,0.5,0.9379256348286509,0.5145812067631697,calculate_nearest,cosine
GMM_ICA_3,0.006465221965712657,0.4,0.9510164325977657,0.5416977201723251,calculate_nearest,manhattan
GMM_ICA_3,0.007807098197282586,0.2,0.9472044390936858,0.509894089109422,calculate_farthest,euclidean
GMM_ICA_3,0.016679690640797266,0.1,0.9370567648144958,0.5418637187729062,calculate_farthest,cosine
GMM_ICA_3,0.009796405358754378,0.6,0.9488890849771586,0.5395458038121776,calculate_farthest,manhattan
GMM_ICA_9,0.007365128143027723,0.3,0.9500384738719309,0.538714397851665,calculate_mean,euclidean
GMM_ICA_9,0.013464861002958956,0.5,0.9419402915602746,0.553003758009454,calculate_mean,cosine
GMM_ICA_9,0.00692577906030231,0.4,0.9502556874799043,0.5397476955708238,calculate_mean,manhattan
GMM_ICA_9,0.007365128143027723,0.3,0.9500384738719309,0.538714397851665,calculate_nearest,euclidean
GMM_ICA_9,0.013464861002958956,0.5,0.9419402915602746,0.553003758009454,calculate_nearest,cosine
GMM_ICA_9,0.00692577906030231,0.4,0.9502556874799043,0.5397476955708238,calculate_nearest,manhattan
GMM_ICA_9,0.007365128143027723,0.3,0.9500384738719309,0.538714397851665,calculate_farthest,euclidean
GMM_ICA_9,0.013464861002958956,0.5,0.9419402915602746,0.553003758009454,calculate_farthest,cosine
GMM_ICA_9,0.00692577906030231,0.4,0.9502556874799043,0.5397476955708238,calculate_farthest,manhattan
KMeans_ICA_5,0.005766516237978215,0.4,0.9523050989682259,0.5618077494850037,calculate_mean,euclidean
KMeans_ICA_5,0.013737853733473835,0.5,0.9384750834284146,0.519327411700675,calculate_mean,cosine
KMeans_ICA_5,0.006465221965712657,0.4,0.9510164325977657,0.5416977201723251,calculate_mean,manhattan
KMeans_ICA_5,0.005766516237978215,0.4,0.9523050989682259,0.5618077494850037,calculate_nearest,euclidean
KMeans_ICA_5,0.013737853733473835,0.5,0.9384750834284146,0.519327411700675,calculate_nearest,cosine
KMeans_ICA_5,0.006465221965712657,0.4,0.9510164325977657,0.5416977201723251,calculate_nearest,manhattan
KMeans_ICA_5,0.010756090852037365,0.3,0.9502369632619717,0.5695011203487508,calculate_farthest,euclidean
KMeans_ICA_5,0.013626003778976187,0.2,0.936760769870014,0.572091595269238,calculate_farthest,cosine
KMeans_ICA_5,0.011532161215115999,0.2,0.9458656423562385,0.5196448463874817,calculate_farthest,manhattan
KMeans_Default_2,0.5048151320956161,0.4,0.12860565875891308,0.6784513198514026,calculate_mean,euclidean
KMeans_Default_2,0.9471386825845034,0.6,0.12384728839424457,0.6686545125240901,calculate_mean,cosine
KMeans_Default_2,0.5411735665565952,0.6,0.12701073566906437,0.6715290344170903,calculate_mean,manhattan
KMeans_Default_2,0.5048151320956161,0.4,0.12860565875891308,0.6784513198514026,calculate_nearest,euclidean
KMeans_Default_2,0.9471386825845034,0.6,0.12384728839424457,0.6686545125240901,calculate_nearest,cosine
KMeans_Default_2,0.5411735665565952,0.6,0.12701073566906437,0.6715290344170903,calculate_nearest,manhattan
