name,diversity,genre_compate,euclidean_similarity,cosine_similarity,cluster_method_name,distance_method_name
KMeans_PCA_3,0.021328460226871442,0.2,0.1520671988449447,0.5367372257684283,calculate_mean,euclidean
KMeans_PCA_3,0.5462875335343182,0.1,0.13513700698958744,0.5194257644717634,calculate_mean,cosine
KMeans_PCA_3,0.02403537293498212,0.2,0.15213990824429602,0.537744053386694,calculate_mean,manhattan
KMeans_PCA_3,0.021328460226871442,0.2,0.1520671988449447,0.5367372257684283,calculate_nearest,euclidean
KMeans_PCA_3,0.5462875335343182,0.1,0.13513700698958744,0.5194257644717634,calculate_nearest,cosine
KMeans_PCA_3,0.02403537293498212,0.2,0.15213990824429602,0.537744053386694,calculate_nearest,manhattan
KMeans_PCA_3,0.23410804564962476,0.3,0.15451302135724135,0.567339844613614,calculate_farthest,euclidean
KMeans_PCA_3,0.2644739961033024,0.2,0.11571717976535584,0.5183359116130447,calculate_farthest,cosine
KMeans_PCA_3,0.2290758724802579,0.2,0.13879553474784515,0.41000560350973264,calculate_farthest,manhattan
GMM_PCA_2,0.021328460226871442,0.2,0.1520671988449447,0.5367372257684283,calculate_mean,euclidean
GMM_PCA_2,0.5462875335343182,0.1,0.13513700698958744,0.5194257644717634,calculate_mean,cosine
GMM_PCA_2,0.02403537293498212,0.2,0.15213990824429602,0.537744053386694,calculate_mean,manhattan
GMM_PCA_2,0.021328460226871442,0.2,0.1520671988449447,0.5367372257684283,calculate_nearest,euclidean
GMM_PCA_2,0.5462875335343182,0.1,0.13513700698958744,0.5194257644717634,calculate_nearest,cosine
GMM_PCA_2,0.02403537293498212,0.2,0.15213990824429602,0.537744053386694,calculate_nearest,manhattan
GMM_PCA_2,0.021328460226871442,0.2,0.1520671988449447,0.5367372257684283,calculate_farthest,euclidean
GMM_PCA_2,0.5462875335343182,0.1,0.13513700698958744,0.5194257644717634,calculate_farthest,cosine
GMM_PCA_2,0.02403537293498212,0.2,0.15213990824429602,0.537744053386694,calculate_farthest,manhattan
GMM_ICA_3,0.006423002255031247,0.3,0.9457149325291301,0.5306625889873045,calculate_mean,euclidean
GMM_ICA_3,0.009548523346167874,0.4,0.9377177735210873,0.5542017259448738,calculate_mean,cosine
GMM_ICA_3,0.00971437426802344,0.1,0.9459434872651422,0.5401782580267194,calculate_mean,manhattan
GMM_ICA_3,0.006287800753388227,0.3,0.9475738700715067,0.5264543066172106,calculate_nearest,euclidean
GMM_ICA_3,0.011210543504005245,0.2,0.9381992586002142,0.5492961362631464,calculate_nearest,cosine
GMM_ICA_3,0.0066455691181459735,0.2,0.9455082282134183,0.5016486715259943,calculate_nearest,manhattan
GMM_ICA_3,0.009069851926491582,0.0,0.9456078106173516,0.5198884206974005,calculate_farthest,euclidean
GMM_ICA_3,0.013966135582841795,0.3,0.9290465822131639,0.5138920871531197,calculate_farthest,cosine
GMM_ICA_3,0.011108992070258146,0.2,0.9438096639524232,0.517037187291764,calculate_farthest,manhattan
GMM_ICA_9,0.006423002255031247,0.3,0.9457149325291301,0.5306625889873045,calculate_mean,euclidean
GMM_ICA_9,0.007630090626794916,0.2,0.9446301009438931,0.5949520476664965,calculate_mean,cosine
GMM_ICA_9,0.009704979279585055,0.3,0.9431624321555924,0.5107136453395893,calculate_mean,manhattan
GMM_ICA_9,0.006322723214446848,0.2,0.9469269224160847,0.5156117562467097,calculate_nearest,euclidean
GMM_ICA_9,0.010523213994348966,0.2,0.938064939470127,0.5411075324685517,calculate_nearest,cosine
GMM_ICA_9,0.006838362958559967,0.3,0.9481970225541927,0.539308858746569,calculate_nearest,manhattan
GMM_ICA_9,0.006322723214446848,0.2,0.9469269224160847,0.5156117562467097,calculate_farthest,euclidean
GMM_ICA_9,0.010523213994348966,0.2,0.938064939470127,0.5411075324685517,calculate_farthest,cosine
GMM_ICA_9,0.006838362958559967,0.3,0.9481970225541927,0.539308858746569,calculate_farthest,manhattan
KMeans_ICA_5,0.006423002255031247,0.3,0.9457149325291301,0.5306625889873045,calculate_mean,euclidean
