name,cluster_function,distance_function,my_diversity,spotify_diversity,name_match,artist_match,my_euclidean_similarity,my_cosine_similarity,spotify_euclidean_similarity,spotify_cosine_similarity,compare_euclidean_similarity,compare_cosine_similarity
KMeans_Default_2,calculate_mean,euclidean,0.7076867277651544,1.0552819219651328,0.0,0.0,0.12204992334718537,0.612970508434868,0.09458746801160428,0.5658653065916448,0.10033060099945013,0.53671136763757
KMeans_Default_2,calculate_mean,cosine,0.7441503441035021,1.3704336925412324,0.0,0.0,0.12361911408288903,0.6388835143910113,0.09714324728190593,0.5747522192413991,0.10133743355086458,0.5557400562114676
KMeans_Default_2,calculate_mean,manhattan,0.730872002719027,1.258528527282529,0.0,0.0,0.12630948928750982,0.6338055344707362,0.09848518939497597,0.570726749629628,0.10407757882282602,0.5341078985776136
KMeans_Default_2,calculate_nearest,euclidean,0.7076867277651544,1.57673492085736,0.0,0.0,0.12204992334718537,0.612970508434868,0.09733978855572532,0.5721896259348738,0.10493863771119762,0.5505057002982239
KMeans_Default_2,calculate_nearest,cosine,0.7441503441035021,1.4235287157947236,0.0,0.0,0.12361911408288903,0.6388835143910113,0.09925544446075951,0.5726130411116407,0.10489314527168546,0.5574615364521636
KMeans_Default_2,calculate_nearest,manhattan,0.730872002719027,1.3719187870755634,0.0,0.0,0.12630948928750982,0.6338055344707362,0.09777217299401689,0.5677348510919473,0.10624329434489707,0.5481180197871921
KMeans_Default_2,calculate_farthest,euclidean,0.7076867277651544,1.4196313967769814,0.0,0.0,0.12204992334718537,0.612970508434868,0.0978057764146333,0.576844261636635,0.10565771115319458,0.5579064034392869
KMeans_Default_2,calculate_farthest,cosine,0.7441503441035021,1.1274296042636536,0.0,0.0,0.12361911408288903,0.6388835143910113,0.09532978784341031,0.5599465082887459,0.10185774367802393,0.5527803681166816
KMeans_Default_2,calculate_farthest,manhattan,0.730872002719027,1.498196793307537,0.0,0.0,0.12630948928750982,0.6338055344707362,0.10174583415625033,0.5892414895529916,0.10663389454106646,0.5502020134049243
GMM_Default_3,calculate_mean,euclidean,0.7830868758631758,0.9897064647679623,0.0,0.0,0.12316514107953529,0.6193722383747293,0.09592326749521198,0.567749781088063,0.10128944423762083,0.5351639512850869
GMM_Default_3,calculate_mean,cosine,0.9552161682751223,1.3445479688592044,0.0,0.0,0.12668879929475504,0.6559006518252211,0.09701137582434258,0.5585073621684512,0.10402566483664168,0.5550648938211246
GMM_Default_3,calculate_mean,manhattan,0.771261821005877,0.8305002154753771,0.0,0.0,0.11764758956195794,0.5924327105114858,0.0955256218445176,0.5673512259042705,0.0992043415262833,0.5255205725904609
GMM_Default_3,calculate_nearest,euclidean,0.7830868758631758,1.1080493078041656,0.0,0.0,0.12316514107953529,0.6193722383747293,0.09917774853593007,0.5830805512931639,0.10184686492029343,0.5343532863347907
GMM_Default_3,calculate_nearest,cosine,0.9552161682751223,1.3357285594662864,0.0,0.0,0.12668879929475504,0.6559006518252211,0.0963747339838903,0.565165382732315,0.10297377217690357,0.5623691003971019
GMM_Default_3,calculate_nearest,manhattan,0.771261821005877,1.0577388768275746,0.0,0.0,0.11764758956195794,0.5924327105114858,0.09529499444779706,0.5595212565636908,0.10374687848509245,0.5433849334369737
GMM_Default_3,calculate_farthest,euclidean,0.7830868758631758,1.2329156954135005,0.0,0.0,0.12316514107953529,0.6193722383747293,0.09713267768334757,0.5736021274301056,0.10147230476862186,0.5348258295525061
GMM_Default_3,calculate_farthest,cosine,0.9552161682751223,1.3222983204829053,0.0,0.0,0.12668879929475504,0.6559006518252211,0.09747479155092663,0.5743124094338017,0.09989418648617726,0.5486848929911234
GMM_Default_3,calculate_farthest,manhattan,0.771261821005877,1.2259897180491304,0.0,0.0,0.11764758956195794,0.5924327105114858,0.09765167355826745,0.5699618959415218,0.10393581098835844,0.5401718672644269
KMeans_Default_2,calculate_mean,euclidean,0.9581438383115904,0.9998034843602975,0.0,0.0,0.1256879513870223,0.6372218912904616,0.09719141690194116,0.5750665770484007,0.1061431935112208,0.57105254035284
KMeans_Default_2,calculate_mean,cosine,1.1571687132966917,1.0679068907719556,0.0,0.0,0.11765892851663917,0.6285466608029674,0.09364101994457687,0.5456086055901122,0.1068695023503496,0.5916786196660798
KMeans_Default_2,calculate_mean,manhattan,0.9858897461838573,1.2103382109643976,0.0,0.0,0.12875609771106916,0.6517783105177191,0.09779456942955624,0.5736144334416984,0.10757423350288403,0.5730472347534784
KMeans_Default_2,calculate_nearest,euclidean,0.9581438383115904,1.3250576758627908,0.0,0.0,0.1256879513870223,0.6372218912904616,0.09761918808111504,0.5698717004671316,0.10928873336292641,0.5774605811920572
KMeans_Default_2,calculate_nearest,cosine,1.1571687132966917,1.1570443978794824,0.0,0.0,0.11765892851663917,0.6285466608029674,0.09491443548258247,0.552769180922485,0.10515627907899851,0.5824372726328251
KMeans_Default_2,calculate_nearest,manhattan,0.9858897461838573,1.2486306559426978,0.0,0.0,0.12875609771106916,0.6517783105177191,0.0910471913880753,0.5399388167518069,0.10506958429047884,0.5667476300461495
KMeans_Default_2,calculate_farthest,euclidean,0.9581438383115904,1.3832663388771829,0.0,0.0,0.1256879513870223,0.6372218912904616,0.09855475378194906,0.5675525821057773,0.11223393683467414,0.5821513973912056
KMeans_Default_2,calculate_farthest,cosine,1.1571687132966917,1.0229064340174412,0.0,0.0,0.11765892851663917,0.6285466608029674,0.09691835112503636,0.5686846166391677,0.10590486819847164,0.5916910805649351
